Gender,Education_Level,Income_Category,Divorced,Married,Single,Unknown,Card_Category,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Avg_Trans_Value,Activity_Ratio,Attrition_Flag
1.05995352,-0.89367928,0.59729936,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,-0.16536832,0.50336774,0.39297078,0.76394212,-1.41403276,0.52808082,0.66632496,-0.47342222,0.71897970,2.43647623,-1.29719073,-0.97395359,2.37590553,-0.77587942,-1.81037902,-0.95760241,0.00000000
-0.94343381,0.59338777,-0.88762776,-0.28240402,-0.92821195,1.25233484,-0.28260779,-0.25058588,0.33371825,2.04319710,1.03621366,1.40730526,-1.41403276,-0.44683022,0.05178112,-0.36666682,0.09294012,2.43647623,-1.22919384,-1.35743338,2.37590553,-0.61627342,-1.12064144,-1.33318114,0.00000000
1.05995352,0.59338777,1.33976292,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,0.58326154,0.50336774,0.00702505,0.12057897,-1.41403276,-1.90919677,-0.61860515,-1.42685834,-0.45723265,2.43647623,-0.95350579,-1.91134863,2.37590553,-0.99715138,2.08503009,-1.55656457,0.00000000
-0.94343381,-0.89367928,-0.88762776,-0.28240402,-0.92821195,-0.79850522,3.53844579,-0.25058588,-0.78922654,1.27328242,-0.25027210,-0.52278417,1.81080899,-1.42174126,-0.63315467,1.66168570,-0.82023038,2.43647623,-1.28470150,-1.91134863,2.37590553,1.75967955,0.00707316,-1.51902114,0.00000000
1.05995352,-1.63721281,0.59729936,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,-0.78922654,0.50336774,-1.92270359,0.76394212,-1.41403276,-1.90919677,-0.43874542,-1.42685834,-0.27753354,2.43647623,-1.44891167,-1.57047771,2.37590553,-0.99715138,-1.69982001,-0.66303089,0.00000000
1.05995352,0.59338777,-0.14516420,-0.28240402,1.07733583,-0.79850522,-0.28260779,-0.25058588,-0.29013997,-0.26654694,0.00702505,-0.52278417,-1.41403276,-0.44683022,-0.53657359,0.10330234,-0.54791286,2.43647623,-1.32309430,-1.74091317,0.72271732,0.13097286,-0.76006827,-1.42891690,0.00000000
1.05995352,0.59338777,2.08222648,-0.28240402,1.07733583,-0.79850522,-0.28260779,5.74158218,0.58326154,1.27328242,1.29351081,1.40730526,-1.41403276,0.52808082,2.21068681,1.35123610,2.20679279,2.43647623,-1.21115385,-1.44265111,0.09389727,-0.75774237,-0.90112017,-1.42059204,0.00000000
1.05995352,-0.89367928,0.59729936,-0.28240402,-0.92821195,-0.79850522,3.53844579,2.74549815,-1.78739968,-1.80637630,-1.15081214,-1.16614732,-0.33908551,-0.44683022,2.21068681,0.28613629,2.20679279,2.43647623,-1.11494057,-1.22960678,0.05332823,-0.82303574,-0.91162624,-0.66303087,0.00000000
1.05995352,-1.63721281,0.59729936,-0.28240402,-0.92821195,1.25233484,-0.28260779,-0.25058588,-1.16354147,0.50336774,0.00702505,0.76394212,-0.33908551,-1.90919677,2.00501901,1.66168570,1.81558728,2.43647623,-1.20190257,-1.74091317,2.37590553,-0.58725415,-0.12642684,-1.42891690,0.00000000
1.05995352,0.59338777,1.33976292,-0.28240402,-0.92821195,1.25233484,-0.28260779,-0.25058588,0.20894661,-0.26654694,0.00702505,1.40730526,0.73586174,0.52808082,0.52290831,0.63094395,0.45109235,2.43647623,-1.15980926,-1.40004225,0.90527798,-0.47480446,-0.77760221,-1.17362155,0.00000000
